,camadas,neurônios,slices,ub_y<=0,lb_y>=0,sem_simplificação,total,tempo
0,1,8,0,0,0,8,8,0.1395421028137207
1,1,8,1,0,0,16,16,0.3918125629425049
2,1,8,2,0,0,32,32,0.47640323638916016
3,1,8,3,0,0,64,64,0.8668577671051025
4,1,16,0,0,0,16,16,0.2814795970916748
5,1,16,1,0,0,32,32,0.5305178165435791
6,1,16,2,0,0,64,64,0.9426083564758301
7,1,16,3,0,2,126,128,1.8742663860321045
8,2,8,0,0,0,16,16,0.35953688621520996
9,2,8,1,0,0,32,32,0.6507644653320312
10,2,8,2,2,0,62,64,1.1171143054962158
11,2,8,3,4,0,124,128,2.225414514541626
12,2,16,0,0,0,32,32,1.3487513065338135
13,2,16,1,0,0,64,64,2.765411615371704
14,2,16,2,0,0,128,128,5.077627182006836
15,2,16,3,0,1,255,256,9.80160117149353
16,3,8,0,1,0,23,24,0.7298893928527832
17,3,8,1,2,0,46,48,1.4187872409820557
18,3,8,2,5,1,90,96,2.6947481632232666
19,3,8,3,11,3,178,192,5.228261709213257
20,3,16,0,0,0,48,48,4.186978340148926
21,3,16,1,0,0,96,96,8.399303913116455
22,3,16,2,3,0,189,192,15.267787218093872
23,3,16,3,8,0,376,384,29.101925373077393
24,4,8,0,0,0,32,32,1.3438849449157715
25,4,8,1,0,0,64,64,2.566171884536743
26,4,8,2,0,0,128,128,5.0616772174835205
27,4,8,3,0,0,256,256,9.928935527801514
28,4,16,0,1,0,63,64,10.681318283081055
29,4,16,1,2,1,125,128,21.415080070495605
30,4,16,2,10,7,239,256,37.86389899253845
31,4,16,3,25,17,470,512,68.3666582107544
